Группа,Режим,Метрика,Сравнение,Mean diff (L-R),Cliff's delta,p raw,p Holm,significant<0.05,Предпочтительная архитектура
final_main,adult,"Темп ловли, мух/мин",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),1.1160,0.8200,1.59e-12,3.18e-12,True,ANN_SOFT_SATED_V3_1
final_main,adult,"Темп ловли, мух/мин",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-3.0600,-0.7412,1.70e-10,1.70e-10,True,BIO_DUAL_FAST_COMPARE
final_main,adult,"Темп ловли, мух/мин",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-4.1760,-0.8776,3.99e-14,1.20e-13,True,BIO_DUAL_FAST_COMPARE
final_main,adult,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),4.7276,0.8852,1.90e-14,5.71e-14,True,SNN
final_main,adult,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),4.4108,0.7048,1.26e-09,2.53e-09,True,BIO_DUAL_FAST_COMPARE
final_main,adult,"Время до первой поимки, с",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.3168,0.1716,0.1380,0.1380,False,SNN
final_main,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.0498,0.8780,3.91e-14,1.17e-13,True,ANN_SOFT_SATED_V3_1
final_main,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0011,-0.1576,0.1755,0.1755,False,BIO_DUAL_FAST_COMPARE
final_main,adult,"Энергоэффективность, мух/энергию",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0508,-0.8612,1.18e-13,2.36e-13,True,BIO_DUAL_FAST_COMPARE
final_main,adult,Игнорирование видимой добычи,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.0048,0.3328,0.0042,0.0042,True,SNN
final_main,adult,Игнорирование видимой добычи,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.1588,-0.7040,1.34e-09,2.67e-09,True,ANN_SOFT_SATED_V3_1
final_main,adult,Игнорирование видимой добычи,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.1636,-0.7296,3.31e-10,9.92e-10,True,SNN
final_main,adult,Learning AUC,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.1602,0.0800,0.4928,0.4928,False,ANN_SOFT_SATED_V3_1
final_main,adult,Learning AUC,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-6.0309,-0.8672,8.05e-14,1.61e-13,True,BIO_DUAL_FAST_COMPARE
final_main,adult,Learning AUC,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-6.1911,-0.8856,2.38e-14,7.15e-14,True,BIO_DUAL_FAST_COMPARE
final_main,adult,Успешность поимки,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.0000,0.0000,1.0000,1.0000,False,SNN
final_main,adult,Успешность поимки,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0820,0.9600,4.67e-19,1.40e-18,True,ANN_SOFT_SATED_V3_1
final_main,adult,Успешность поимки,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0820,0.9600,4.67e-19,1.40e-18,True,SNN
final_main,adult,"Вычислительная цена, с/поимку",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),-1.7582,-0.9472,3.38e-16,6.77e-16,True,ANN_SOFT_SATED_V3_1
final_main,adult,"Вычислительная цена, с/поимку",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-2.2678,-0.9760,4.21e-17,1.26e-16,True,ANN_SOFT_SATED_V3_1
final_main,adult,"Вычислительная цена, с/поимку",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.5096,-0.1512,0.1938,0.1938,False,SNN
final_main,developmental,"Темп ловли, мух/мин",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),1.8864,0.9904,1.40e-17,3.46e-17,True,ANN_SOFT_SATED_V3_1
final_main,developmental,"Темп ловли, мух/мин",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-2.5380,-0.7580,6.54e-11,6.54e-11,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,"Темп ловли, мух/мин",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-4.4244,-0.9932,1.15e-17,3.46e-17,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),5.1518,0.9664,8.25e-17,2.48e-16,True,SNN
final_main,developmental,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),4.8094,0.8100,2.96e-12,5.92e-12,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,"Время до первой поимки, с",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.3424,0.3788,0.0011,0.0011,True,SNN
