Группа,Режим,Архитектура,Короткое имя,"Темп ловли, mean ± std","Первая поимка, с",Энергоэффективность,Learning AUC,Игнорирование видимой добычи,Low E catch,High E catch,Delta low-high,"Вычислительная цена, с/поимку"
ANN homeostasis chronology,adult,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2),ANN V2,1.18 ± 0.45,1.00 ± 0.73,0.152 ± 0.021,4.14 ± 1.51,0.005 ± 0.007,0.50 ± 1.24,8.42 ± 3.94,-7.92 ± 4.12,0.95 ± 0.52
ANN homeostasis chronology,adult,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),ANN frozen V2,6.98 ± 4.50,1.02 ± 0.68,0.190 ± 0.012,11.35 ± 4.91,0.000 ± 0.000,1.56 ± 3.16,12.54 ± 4.25,-10.98 ± 5.30,0.17 ± 0.15
ANN homeostasis chronology,adult,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),ANN V3,0.91 ± 0.20,100.21 ± 21.31,0.164 ± 0.025,0.74 ± 0.12,0.021 ± 0.010,1.84 ± 2.36,0.00 ± 0.00,1.84 ± 2.36,1.13 ± 0.49
ANN homeostasis chronology,adult,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),ANN frozen V3,0.87 ± 0.17,89.28 ± 6.81,0.169 ± 0.025,0.73 ± 0.09,0.131 ± 0.033,1.24 ± 1.48,0.00 ± 0.00,1.24 ± 1.48,0.93 ± 0.24
ANN homeostasis chronology,adult,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),ANN V3.1,1.96 ± 0.68,4.97 ± 10.08,0.183 ± 0.018,2.97 ± 1.08,0.015 ± 0.010,2.31 ± 2.59,2.38 ± 0.76,-0.07 ± 2.70,0.54 ± 0.28
ANN homeostasis chronology,adult,ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),ANN frozen V3.1,1.17 ± 0.37,5.05 ± 9.71,0.161 ± 0.020,2.31 ± 0.84,0.244 ± 0.034,0.91 ± 1.37,2.02 ± 0.75,-1.11 ± 1.56,0.67 ± 0.25
ANN homeostasis chronology,developmental,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2),ANN V2,1.27 ± 0.35,1.32 ± 1.02,0.167 ± 0.021,3.31 ± 0.91,0.003 ± 0.002,0.70 ± 1.16,5.97 ± 2.54,-5.27 ± 2.79,0.80 ± 0.19
ANN homeostasis chronology,developmental,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),ANN frozen V2,8.07 ± 3.50,1.52 ± 1.06,0.194 ± 0.009,11.24 ± 3.77,0.000 ± 0.000,1.03 ± 1.25,11.84 ± 2.89,-10.81 ± 3.15,0.12 ± 0.10
ANN homeostasis chronology,developmental,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),ANN V3,1.02 ± 0.04,92.22 ± 4.49,0.183 ± 0.007,0.82 ± 0.02,0.019 ± 0.003,54.29 ± 122.05,0.00 ± 0.00,54.29 ± 122.05,0.94 ± 0.05
ANN homeostasis chronology,developmental,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),ANN frozen V3,0.90 ± 0.15,93.43 ± 17.08,0.173 ± 0.022,0.74 ± 0.11,0.042 ± 0.007,0.88 ± 0.62,0.00 ± 0.00,0.88 ± 0.62,0.90 ± 0.20
ANN homeostasis chronology,developmental,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),ANN V3.1,2.69 ± 0.50,5.45 ± 6.66,0.194 ± 0.005,3.37 ± 0.76,0.012 ± 0.003,1.78 ± 1.10,2.89 ± 0.60,-1.12 ± 1.25,0.35 ± 0.06
ANN homeostasis chronology,developmental,ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),ANN frozen V3.1,1.29 ± 0.44,6.03 ± 7.25,0.169 ± 0.025,2.17 ± 0.60,0.058 ± 0.006,1.03 ± 1.09,1.88 ± 0.75,-0.84 ± 1.32,0.63 ± 0.28
